Series Name,"Series Code","Country Name","Country Code","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","United States","USA","39.658","38.963","39.756","40.38","39.629","37.647","34.436","31.381","29.137","26.447","24.036","21.899","19.867","18.423","17.06","16.414","15.83","15.966","15.119","NA"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","Germany","DEU","11.329","10.954","10.721","10.674","10.564","9.948","9.687","8.996","8.546","8.075","8.114","8.318","9.511","8.618","8.004","7.524","7.417","7.465","7.186","NA"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","France","FRA","11.054","10.938","10.966","10.851","10.953","10.784","10.668","10.331","10.038","9.397","9.074","8.273","7.582","7.288","8.166","9.662","9.407","9.529","9.442","NA"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","Italy","ITA","7.251","7.017","6.836","6.811","7.188","7.051","6.867","6.653","6.503","5.954","5.675","5.214","4.883","4.438","4.133","3.878","3.881","3.993","3.899","NA"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","Greece","GRC","10.889","10.287","10.742","10.661","11.184","10.908","10.453","9.469","8.505","8.035","7.903","8.094","8.507","8.368","8.245","8.309","8.421","8.479","8.315","NA"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","Spain","ESP","11.121","11.565","12.191","13.021","13.372","11.98","10.888","9.757","9.079","8.381","8.073","7.628","7.255","6.932","6.184","5.941","5.979","6.281","6.349","NA"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","Mexico","MEX","72.839","72.534","71.176","72.318","74.09","75.355","75.329","76.46","76.744","76.355","72.893","67.585","64.845","63.587","61.293","58.391","57.865","54.369","53.693","NA"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","Honduras","HND","108.406","104.158","101.141","97.358","94.706","91.994","89.482","86.963","84.451","81.681","79.562","77.993","76.868","75.341","74.666","73.802","72.874","71.972","71.333","NA"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","Panama","PAN","92.801","90.582","88.585","89.135","91.341","92.85","91.622","93.352","93.25","92.149","90.182","86.428","81.589","78.616","74.96","71.789","70.838","69.912","68.49","NA"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","Chile","CHL","49.294","50.171","52.213","53.95","55.42","54.403","53.205","52.145","50.989","48.368","44.832","40.067","34.096","27.979","24.292","24.127","24.08","24.082","22.793","NA"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","Peru","PER","68.165","68.491","68.787","67.859","68.086","66.018","64.919","65.287","64.994","63.876","62.668","61.571","60.973","60.209","59.457","58.808","58.053","56.756","56.091","NA"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","Dominican Republic","DOM","105.859","103.28","101.253","102.863","105.496","104.701","109.433","109.026","106.089","100.151","97.477","95.116","91.817","87.909","83.874","78.455","68.278","65.629","63.198","NA"
,"","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","",""
Data from database: Health Nutrition and Population Statistics,"","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 07/01/2024,"","","","","","","","","","","","","","","","","","","","","","",""
