Series Name,"Series Code","Country Name","Country Code","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
GDP per capita (current US$),"NY.GDP.PCAP.CD","United States","USA","41724.6411982614","44123.3996470026","46301.9876485519","48050.227412195","48570.0594269601","47194.9500893872","48650.6643227232","50065.9789470675","51784.4114692048","53409.7507774372","55304.3155317137","57040.2082136605","58206.6141931844","60322.2614241747","63201.0458483771","65548.0707847572","64317.398912504","71055.8761938303","77246.6738828672","81695.1870713305"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Germany","DEU","34106.6581224001","34520.2396492496","36353.8803343631","41640.0808695147","45612.7106221441","41650.3678297162","41572.4559481507","46705.8957963353","43855.8544658618","46298.9229177341","48023.8699845462","41103.2564363768","42136.1207907991","44652.5891722719","47939.2782884504","46805.1384334439","46749.4762280016","51426.7503654421","48717.9911402128","52745.7557064131"
GDP per capita (current US$),"NY.GDP.PCAP.CD","France","FRA","33797.1624418436","34768.1759037525","36470.2128399313","41557.6235648179","45515.9617533473","41737.7635518137","40676.0647913181","43846.4660764798","40870.8523645734","42602.7179652667","43068.5487241739","36652.9223052178","37062.5335723829","38781.0494870836","41557.8548588876","40494.8982936276","39179.7442596057","43671.3084099631","40886.2532680273","44460.8178457009"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Italy","ITA","31317.2007943296","32055.0920757503","33529.7266014361","37870.7475070969","40944.9124194678","37226.7571935402","36035.6449950691","38649.6394836789","35051.5212697703","35560.0814062288","35565.7213771496","30242.3861352184","30960.7315088902","32406.7203150134","34622.1696664741","33673.7509627421","31922.9191626183","36441.0598048734","35068.8359738449","38373.1660497534"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Greece","GRC","21995.477943746","22560.1472939077","24821.9367451879","28863.9732885018","32127.9831943287","29828.7560245271","26716.6488260274","25483.8825644931","21912.9982879517","21787.7877636035","21616.7100094908","18083.8779056547","17923.9668134716","18582.0893411631","19756.990456255","19143.8876174584","17617.2915057014","20310.6824798873","20867.2690861087","22990.0135680461"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Spain","ESP","24907.0008505856","26429.1509449319","28389.0785799873","32591.3503065871","35510.7222312701","32169.5028548583","30532.4805081656","31677.9003083652","28322.9465923276","29077.1820557563","29513.6511800405","25754.36102944","26537.1594894542","28185.3213671969","30379.7211126422","29581.5185513299","26984.2962770279","30488.8209528797","29674.5442864413","32676.9837109377"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Mexico","MEX","7883.5231908285","8702.11448264527","9545.28672703153","10178.4422388105","10589.9518729134","8495.65308003777","9823.16407459477","10766.6099402311","10842.7330894856","11317.4910604809","11490.0216914226","10098.173182095","9152.73722379028","9693.33009082487","10130.3206976172","10434.5676193955","8895.61521605941","10363.1927221972","11476.6788057764","13926.1136190914"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Panama","PAN","4629.02931602921","4953.12997978141","5385.56424337546","6205.82157550354","7197.11078610101","7618.43845900774","8124.55830734871","9403.43990821634","10767.2931788172","11932.2862205866","12837.2479584282","13669.5594424097","14382.2323819969","15185.9724813803","16156.0742859681","16472.8317470488","13293.3331951688","15491.2898013383","17357.6286293985","18661.7673290605"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Honduras","HND","1201.24750461917","1289.82311409217","1409.57974824961","1559.88604406996","1713.41816440351","1762.34916029174","1874.27170372599","2053.95969493403","2107.34542786596","2064.55053629483","2164.42455009318","2257.22528369354","2295.53627000423","2403.30608839303","2457.6860424186","2498.50918635232","2307.13093003215","2738.21626989704","3012.21734086324","3247.23105462683"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Chile","CHL","6185.30378783274","7560.54366823827","9418.27492735073","10456.8323890899","10797.0473705117","10204.5588537616","12764.5931178671","14637.7561550875","15397.7804504673","15842.159166151","14675.1508630779","13567.3572174332","13788.2400083224","15034.0584350711","15820.0333659534","14616.2072513761","13162.5913519707","16185.9147709548","15411.1739539112","17093.2419713921"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Peru","PER","2393.66589710452","2702.23770075461","3123.32015935927","3572.36358879114","4184.88598248749","4164.97048299155","5047.2046433225","5826.83230656078","6475.72044267849","6697.18774707052","6614.83081997934","6180.11926810233","6163.86042474328","6676.30879274916","6912.10398761205","6956.49574886694","6047.47546434312","6713.66205386496","7239.11131130898","7789.87097514036"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Dominican Republic","DOM","2468.43678989514","3903.8152066628","4080.04573853712","4676.07905086376","5053.33028494248","5002.15316981585","5509.56803417837","5859.381524313","6049.47158709846","6171.29512670907","6533.67091082712","6838.93674590634","7191.06970308651","7513.49798180543","7947.15933093481","8173.34469885261","7167.91497432809","8476.74963892506","10111.2457110261","10716.0133558903"
,"","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 06/28/2024,"","","","","","","","","","","","","","","","","","","","","","",""
